OBJECTID,StreetID,Name,Type,LeftFrom,LeftTo,RightTo,SegmentID,Surface,Class,Curb,Width,Miles,Cross1,Cross12,Cross2,Cross22,GlobalID
5639,621.0,DAPHINE,DR,100,110,109,8128,BST,Local,No,16.0,0.10899,ALMA AVE,ALMA AVE,GRACE DR, ,{084F26DD-34AE-402C-ACA7-4458A90D6970}
5640,621.0,DAPHINE,DR,112,150,151,8129,BST,Local,No,16.0,0.05584,GRACE DR,,TERRELL RD, ,{174B8BA0-D69D-45E6-AAF6-5F9934D11D3C}
5641,4179.0,EQUESTRIAN CENTER,DR,1011,1141,1142,8130,Unpaved,Private,No,,0.49174,CAMP CHESTNUT RIDGE RD,CAMP CHESTNUT RIDGE RD,,,{6B0025B8-21A3-4CFC-B5F2-9EBA0ABDB3EA}
5642,4178.0,PARKER RIGGINS,TRL,801,869,870,8131,Unpaved,Private,No,,0.26325,CAMP CHESTNUT RIDGE RD,CAMP CHESTNUT RIDGE RD,,,{C5F1B405-A92D-46FE-9231-1DED65F27722}
5643,4177.0,CAMPFIRE ,CIR,637,667,668,8132,Unpaved,Private,No,,0.11621,,,,,{0E95833F-EBDA-40A1-9959-DCCC9CB32776}
5644,218.0,CAMP CHESTNUT RIDGE,RD,4257,4299,4300,8133,Unpaved,Private,No,,0.22066,CHESTNUT RIDGE CHURCH RD,CHESTNUT RIDGE CHURCH RD, , ,{E709EB64-AD3D-4E3C-BA0E-A33315A79AAF}
5645,218.0,CAMP CHESTNUT RIDGE,RD,4237,4255,4256,8134,Unpaved,Private,No,,0.01796,CAMP CHESTNUT RIDGE RD,CAMP CHESTNUT RIDGE RD,,,{8BB97C22-7CAA-478B-9688-4DFAD35D05F7}
5646,218.0,CAMP CHESTNUT RIDGE,RD,4223,4235,4236,8135,Unpaved,Private,No,,0.05019,CAMP CHESTNUT RIDGE RD,CAMP CHESTNUT RIDGE RD,,,{AB26DD30-42B6-4F91-AEDE-701E92DA3BEF}
5647,218.0,CAMP CHESTNUT RIDGE,RD,4169,4221,4222,8136,Unpaved,Private,No,,0.13747,CAMP CHESTNUT RIDGE RD,CAMP CHESTNUT RIDGE RD,,,{61536BE5-1F13-4020-BDB7-D1A88AC555C9}
5648,4177.0,CAMPFIRE ,CIR,621,635,636,8137,Unpaved,Private,No,,0.13239,CAMP CHESTNUT RIDGE RD,CAMP CHESTNUT RIDGE RD,,,{664D109C-B63A-4644-A3D9-C4DF00C66EA8}
5649,218.0,CAMP CHESTNUT RIDGE,RD,4101,4149,4148,8139,Unpaved,Local,No,,0.25653,CHESTNUT RIDGE CHURCH RD,CHESTNUT RIDGE CHURCH RD, , ,{AB28F8FE-6508-4F99-AAD4-38BFBA6F9D66}
5650,218.0,CAMP CHESTNUT RIDGE,RD,4151,4167,4168,8140,Unpaved,Private,No,,0.06,CHESTNUT RIDGE CHURCH RD,CHESTNUT RIDGE CHURCH RD, , ,{C3510308-5919-4178-AABA-34E55F97952B}
5651,218.0,CAMP CHESTNUT RIDGE,RD,0,0,0,8141,Unpaved,Private,No,,0.11188,CAMP CHESTNUT RIDGE RD,CAMP CHESTNUT RIDGE RD,,,{A458D38F-0B82-48D6-9E67-81549E99923D}
5652,4179.0,PRIVATE ACCESS,RD,0,0,0,8142,Unpaved,Private,No,,0.33547,EQUESTRIAN CENTER DR,,,,{21F3BE01-2432-4CC6-A302-A04BB65A8F80}
5653,218.0,CAMP CHESTNUT RIDGE,RD,0,0,0,8143,Unpaved,Private,No,,0.00826,CAMP CHESTNUT RIDGE RD,CAMP CHESTNUT RIDGE RD,,,{27A39935-29BE-4A5E-B589-D4F5659F9688}
5654,1909.0,PLEASANT GREEN,RD,4104,4536,4535,8144,Asphalt,Major Coll,No,,0.46751,PAPER BIRCH LN, ,WILLET RD, ,{84A9B58D-961F-4C4B-86EC-CA602321C8FF}
5655,1909.0,PLEASANT GREEN,RD,4100,4102,4103,8145,Asphalt,Major Coll,No,,0.05863,SHADY LN, ,PAPER BIRCH LN, ,{96ABACCA-99B2-4E62-A5D2-6CF91DC6C849}
5656,3962.0,PAPER BIRCH,LN,105,249,250,8146,BST,Local,No,,0.47689,GREENBROOK LN,,,,{5AA23F66-4036-4641-B6FF-D0FF3A3F4150}
5657,3773.0,KELDCARREG,LN,200,250,249,8149,Unpaved,Private,No,,0.27777,OLDE PLACE DR,OLDE PLACE DR,,,{D41AC03B-351F-4155-B098-83811747C149}
5658,3772.0,OLDE PLACE,DR,1000,1050,1049,8150,Unpaved,Private,No,,0.48721,PEARSON RD,PEARSON RD,KELDCARREG LN,,{D491B224-1CB3-4A94-8D1E-4950A78F6432}
5659,3772.0,OLDE PLACE,DR,1052,1098,1099,8151,Unpaved,Private,No,,0.18831,KELDCARREG LN,,,,{DFC0C5F9-8970-40DF-A12D-595CA69DD5E0}
5660,1853.0,PEARSON,RD,3422,4030,4029,8152,,Local,,,0.66946,GENTLE WAY, ,NC 57,NC 57,{2EC53A97-E66A-4869-BB0F-B38100AF94B4}
5661,1853.0,PEARSON,RD,3412,3420,3421,8153,,Local,,,0.10751,GENTLE WAY, ,OLDE PLACE DR,NC 57,{9CFFEEC3-9E58-42BF-B2B0-CA39A454AEE1}
5662,2782.0,ESTES,DR,901,909,910,8158,BST,Arterial,N,21.0,0.12104,AIRPORT RD, ,AIRPORT DR, ,{FC1151AC-3A14-4811-B24A-1313B3AD0895}
5663,2734.0,AIRPORT,DR,104,110,109,8159,BST,Local,N,19.0,0.14958,FACILITIES DR,,BRANCH ST, ,{AA81EE68-ED04-4C1F-B281-047CB8AFDD10}
5664,2734.0,AIRPORT,DR,100,102,101,8160,BST,Local,N,19.0,0.04547,AIRPORT RD,AIRPORT RD,FACILITIES DR, ,{E8A2B28B-FDDE-47D4-A656-B6A9DA1FEA5F}
5665,987.0,GUESS,RD,5300,5424,5425,8161,Asphalt,Major Coll,No,,0.19286,LAWS FARM RD, ,NORMANS RD, ,{0ACD8818-0176-4CEA-816C-04A624403604}
5666,987.0,GUESS,RD,5426,5498,5499,8162,Asphalt,Major Coll,No,,0.05396,CRESCENT HILL LN, ,NORMANS RD,GOBBLER RIDGE RD,{E16FB259-11EE-4E5A-AC84-82CF21C28540}
5667,2388.0,TERRY,RD,100,674,675,8169,Asphalt,Local,No,,0.68622,ST MARYS RD,ST MARYS RD,VON LN, ,{C89205D1-86B7-4857-9FF4-647F3350D585}
5668,2388.0,TERRY,RD,700,1126,1125,8170,Asphalt,Local,No,,0.5637,VON LN,,BARRED OWL WAY, ,{062E19F8-4F43-4B99-9B88-D8390C4A748A}
5669,876.0,FRIENDSHIP,LN,1808,1850,1849,8172,Unpaved,Local,,,0.23586,E HATTERLEIGH AVE, ,BALDWIN RD,BALDWIN RD,{F734766B-1717-4AAF-8574-265CD7B02FC4}
